City,Cloudiness,Country,DateTime,Humidity,Lat,Lng,Max Temp,Wind Speed
Pangody,84,RU,2020-01-27 02:27:53,97,65.85,74.49,-5.94,6.44
Dzhebariki-Khaya,56,RU,2020-01-27 02:27:54,82,62.22,135.8,-31.13,2.19
Coihaique,100,CL,2020-01-27 02:23:26,47,-45.58,-72.07,59.0,11.41
Karratha,0,AU,2020-01-27 02:27:56,57,-20.74,116.85,91.0,8.46
Mackay,75,AU,2020-01-27 02:27:57,83,-21.15,149.2,82.4,9.17
Kiunga,16,PG,2020-01-27 02:27:58,47,-6.12,141.29,96.62,1.88
Prince Rupert,90,CA,2020-01-27 02:28:00,87,54.32,-130.32,42.8,13.87
Berezovyy,62,RU,2020-01-27 02:28:01,56,51.67,135.7,8.02,5.03
Petropavlovsk-Kamchatskiy,75,RU,2020-01-27 02:28:02,68,53.05,158.65,30.2,4.47
Mpongwe,91,ZM,2020-01-27 02:28:03,97,-13.51,28.16,62.82,1.79
Seymchan,100,RU,2020-01-27 02:28:04,90,62.88,152.43,-22.27,4.12
Batagay-Alyta,0,RU,2020-01-27 02:28:06,43,67.8,130.41,-30.5,4.76
Chichimila,0,MX,2020-01-27 02:28:07,83,20.62,-88.22,67.78,3.78
Ancud,40,CL,2020-01-27 02:28:08,76,-41.87,-73.82,53.6,3.36
Abalak,100,RU,2020-01-27 02:28:09,96,58.13,68.59,19.9,2.82
Sabang,100,ID,2020-01-27 02:28:10,80,5.89,95.32,81.52,15.01
Chicama,40,PE,2020-01-27 02:28:11,88,-7.84,-79.15,71.6,10.29
Sur,4,OM,2020-01-27 02:28:13,53,22.57,59.53,61.5,11.83
Realeza,0,BR,2020-01-27 02:28:14,76,-25.77,-53.53,66.78,2.19
Katsuura,75,JP,2020-01-27 02:28:15,67,35.13,140.3,46.0,8.05
Diffa,0,NE,2020-01-27 02:28:16,27,13.32,12.61,59.0,10.45
Maceio,40,BR,2020-01-27 02:28:17,88,-9.67,-35.74,78.8,3.36
Barabai,29,ID,2020-01-27 02:28:18,56,-2.58,115.38,89.58,2.84
Castelnau-Le-Lez,20,FR,2020-01-27 02:28:19,100,43.63,3.9,39.99,5.01
Vao,100,NC,2020-01-27 02:28:21,81,-22.67,167.48,78.66,14.76
Westport,90,US,2020-01-27 02:23:59,60,41.14,-73.36,43.0,8.05
Ornskoldsvik,100,SE,2020-01-27 02:28:23,100,63.29,18.72,28.4,9.17
Balkanabat,88,TM,2020-01-27 02:28:24,78,39.51,54.37,35.98,6.02
Kruisfontein,32,ZA,2020-01-27 02:28:25,87,-34.0,24.73,54.01,9.1
Areosa,75,PT,2020-01-27 02:28:27,82,41.72,-8.86,59.0,21.92
Lavrentiya,0,RU,2020-01-27 02:28:28,84,65.58,-171.0,-15.61,1.03
Littleton,1,US,2020-01-27 02:24:36,50,39.61,-105.02,44.01,3.62
Airai,50,TL,2020-01-27 02:28:30,60,-8.93,125.41,82.74,5.68
Sijunjung,100,ID,2020-01-27 02:28:31,78,-0.69,100.95,81.32,0.94
Tabas,0,IR,2020-01-27 02:28:32,80,33.6,56.92,33.8,2.24
Ramotswa,0,BW,2020-01-27 02:28:34,93,-24.87,25.87,66.2,6.93
Deputatskiy,100,RU,2020-01-27 02:28:35,80,69.3,139.9,-27.96,2.77
College,100,US,2020-01-27 02:28:36,74,64.86,-147.8,-13.0,2.39
Isangel,60,VU,2020-01-27 02:25:11,66,-19.55,169.27,86.0,8.05
Tukrah,6,LY,2020-01-27 02:28:38,49,32.53,20.58,53.46,14.56
Ostrovnoy,74,RU,2020-01-27 02:28:39,93,68.05,39.51,5.74,13.87
Cattolica,1,IT,2020-01-27 02:28:41,93,43.96,12.74,42.01,1.12
Rorvik,100,NO,2020-01-27 02:27:05,79,64.86,11.24,30.99,8.01
Baoqing,0,CN,2020-01-27 02:28:43,74,46.33,132.21,17.56,1.52
Soyo,99,AO,2020-01-27 02:28:44,83,-6.13,12.37,79.77,4.9
Iralaya,0,HN,2020-01-27 02:28:45,69,15.0,-83.23,78.82,9.69
Camacha,40,PT,2020-01-27 02:28:46,77,33.08,-16.33,60.8,3.36
Flinders,75,AU,2020-01-27 02:28:48,65,-34.58,150.86,86.0,5.82
San Cristobal,40,VE,2020-01-27 02:28:49,83,7.77,-72.22,75.2,4.7
Iqaluit,75,CA,2020-01-27 02:28:50,67,63.75,-68.51,-23.01,3.98
Ilulissat,17,GL,2020-01-27 02:28:51,65,69.22,-51.1,3.2,8.05
Tiksi,0,RU,2020-01-27 02:28:36,63,71.69,128.87,-31.18,2.64
Sao Joao Da Barra,100,BR,2020-01-27 02:28:53,83,-21.64,-41.05,75.56,5.66
Wattens,75,AT,2020-01-27 02:28:55,92,47.27,11.6,34.0,2.24
Sterling,90,US,2020-01-27 02:24:18,60,39.01,-77.43,44.6,4.7
Seydi,64,TM,2020-01-27 02:28:57,57,39.48,62.91,34.36,8.99
Ilebo,86,CD,2020-01-27 02:28:59,60,-4.32,20.58,73.35,0.34
Praya,0,CV,2020-01-27 02:28:41,60,14.92,-23.51,73.4,17.22
Kungurtug,100,RU,2020-01-27 02:29:01,75,50.6,97.52,15.49,2.68
Pershotravneve,0,UA,2020-01-27 02:29:02,91,51.39,28.87,29.84,3.89
Zhangjiakou,100,CN,2020-01-27 02:24:14,69,40.81,114.88,22.48,3.58
Narsaq,77,GL,2020-01-27 02:29:04,66,60.92,-46.05,10.4,4.7
Maningrida,100,AU,2020-01-27 02:29:05,81,-12.07,134.27,85.32,20.2
Hamilton,75,US,2020-01-27 02:29:07,89,39.18,-84.53,37.0,3.36
Abu Samrah,0,SY,2020-01-27 02:29:08,86,35.3,37.18,42.73,8.19
Jieshi,0,CN,2020-01-27 02:29:09,70,22.81,115.83,52.0,3.0
Salalah,0,OM,2020-01-27 02:29:10,20,17.02,54.09,64.4,17.22
Karaton,75,ID,2020-01-27 02:24:32,88,-6.34,106.1,89.01,2.24
Zlobin,90,HR,2020-01-27 02:29:13,93,45.29,14.65,44.01,4.7
Aripuana,100,BR,2020-01-27 02:29:14,92,-9.17,-60.63,75.29,0.69
Marawi,37,PH,2020-01-27 02:29:15,79,8.0,124.29,84.0,5.99
Deep River,90,CA,2020-01-27 02:29:16,98,46.1,-77.5,34.0,4.72
Sikeston,75,US,2020-01-27 02:29:18,93,36.88,-89.59,51.01,3.36
Quelimane,0,MZ,2020-01-27 02:29:19,94,-17.88,36.89,78.8,3.36
Kotar,0,IN,2020-01-27 02:29:20,48,24.72,80.98,60.06,3.06
Shingu,75,JP,2020-01-27 02:29:22,81,33.73,135.98,51.8,3.36
Sept-Iles,90,CA,2020-01-27 02:26:23,86,50.2,-66.38,28.0,13.87
Bonthe,54,SL,2020-01-27 02:29:24,84,7.53,-12.51,75.27,2.24
Usinsk,100,RU,2020-01-27 02:29:25,96,65.99,57.53,-6.38,8.99
Kidal,100,ML,2020-01-27 02:29:26,11,18.44,1.41,66.97,5.55
Limulunga,100,ZM,2020-01-27 02:29:28,89,-15.1,23.14,65.98,3.24
Bad Windsheim,1,DE,2020-01-27 02:29:29,100,49.5,10.42,35.6,4.45
Tomigusuku,40,JP,2020-01-27 02:29:30,73,26.18,127.67,71.6,26.4
La Asuncion,95,VE,2020-01-27 02:29:31,92,11.03,-63.86,68.0,11.41
Husavik,29,IS,2020-01-27 02:29:33,68,66.04,-17.34,30.2,19.46
Mabaruma,100,GY,2020-01-27 02:29:34,99,8.2,-59.78,71.55,2.24
Mishan,0,CN,2020-01-27 02:29:35,71,45.55,131.88,17.58,3.47
Kenora,90,CA,2020-01-27 02:26:02,92,49.82,-94.43,17.6,8.05
Saint-Michel-Des-Saints,100,CA,2020-01-27 02:26:42,9,46.68,-73.92,30.0,3.6
Santa Rosalia,0,MX,2020-01-27 02:29:38,51,27.32,-112.28,63.09,2.39
Sola,86,VU,2020-01-27 02:29:39,75,-13.88,167.55,83.62,11.65
Santa Cruz,20,BO,2020-01-27 02:29:41,78,-17.8,-63.17,82.4,6.93
Tiznit,0,MA,2020-01-27 02:29:42,56,29.58,-9.5,49.03,1.81
Sampit,71,ID,2020-01-27 02:29:43,85,-2.53,112.95,83.07,2.93
Koumac,5,NC,2020-01-27 02:29:44,41,-20.57,164.28,89.31,4.83
Sar-E Pul,0,AF,2020-01-27 02:29:45,44,35.83,66.17,25.5,4.7
Abrau-Dyurso,40,RU,2020-01-27 02:29:46,93,44.69,37.59,41.0,8.95
Grajau,100,BR,2020-01-27 02:29:48,95,-5.82,-46.14,74.66,3.09
Sioux Lookout,90,CA,2020-01-27 02:29:50,92,50.1,-91.92,15.8,5.82
Ayolas,31,PY,2020-01-27 02:29:51,46,-27.4,-56.9,79.79,3.91
Winslow,1,US,2020-01-27 02:29:52,45,35.02,-110.7,46.4,6.93
Bergerac,100,FR,2020-01-27 02:29:53,100,44.83,0.5,44.01,5.82
Nobeoka,100,JP,2020-01-27 02:29:54,99,32.58,131.67,56.97,9.84
Muros,90,ES,2020-01-27 02:29:55,100,42.78,-9.06,55.99,18.34
Pathein,21,MM,2020-01-27 02:29:56,58,16.78,94.73,74.77,14.74
Torbay,90,CA,2020-01-27 02:29:58,62,47.67,-52.73,28.0,5.82
Lakes Entrance,100,AU,2020-01-27 02:30:00,70,-37.88,147.98,80.01,7.0
Esperance,0,AU,2020-01-27 02:30:01,45,-33.87,121.9,84.2,9.17
Katangli,0,RU,2020-01-27 02:30:02,82,51.71,143.23,3.74,11.5
Cozumel,40,MX,2020-01-27 02:30:03,94,20.51,-86.95,77.0,5.14
Ushtobe,100,KZ,2020-01-27 02:30:04,73,45.25,77.98,24.1,4.56
Pafos,90,CY,2020-01-27 02:26:31,81,34.77,32.42,50.0,5.82
Oranjestad,20,AW,2020-01-27 02:30:07,83,12.52,-70.03,80.6,8.05
Wagar,0,SD,2020-01-27 02:30:09,88,16.15,36.2,51.67,7.52
Dwarka,0,IN,2020-01-27 02:30:10,80,22.24,68.97,71.76,10.6
Mehamn,100,NO,2020-01-27 02:30:11,75,71.04,27.85,15.24,7.34
Alihe,0,CN,2020-01-27 02:30:12,77,50.57,123.72,12.36,2.33
Prokudskoye,100,RU,2020-01-27 02:30:13,67,55.01,82.46,17.6,15.66
Pimenta Bueno,100,BR,2020-01-27 02:30:14,94,-11.67,-61.19,74.25,3.83
Gornyak,100,RU,2020-01-27 02:30:16,81,50.99,81.47,17.8,21.65
Buraydah,0,SA,2020-01-27 02:30:17,93,26.33,43.98,35.6,3.94
Toora-Khem,43,RU,2020-01-27 02:30:19,94,52.47,96.11,4.86,1.81
Nchelenge,100,ZM,2020-01-27 02:30:20,95,-9.35,28.73,67.84,2.93
Baruun-Urt,0,MN,2020-01-27 02:30:21,83,46.68,113.28,11.75,6.8
Lovington,1,US,2020-01-27 02:30:22,29,32.94,-103.35,55.99,5.82
Baniachang,0,BD,2020-01-27 02:30:23,55,24.52,91.37,63.18,3.56
Zhanaozen,7,KZ,2020-01-27 02:30:24,85,43.3,52.8,27.93,7.81
Burgeo,100,CA,2020-01-27 02:30:26,93,47.62,-57.62,33.57,22.93
Vengerovo,100,RU,2020-01-27 02:30:27,93,55.68,76.75,24.37,23.89
Puerto Del Rosario,75,ES,2020-01-27 02:30:29,77,28.5,-13.86,62.6,12.75
Bud,40,US,2020-01-27 02:30:30,86,39.45,-86.18,36.0,6.93
Los Llanos De Aridane,75,ES,2020-01-27 02:30:31,67,28.66,-17.92,62.6,6.93
Jaipur,20,IN,2020-01-27 02:27:34,67,26.92,75.82,57.2,6.93
Killam,100,CA,2020-01-27 02:30:34,92,52.78,-111.85,26.01,1.01
Aromashevo,98,RU,2020-01-27 02:30:35,94,56.86,68.64,14.54,12.44
Maraba,20,BR,2020-01-27 02:30:36,100,-5.37,-49.12,80.6,1.41
Kyaka,100,TZ,2020-01-27 02:30:37,80,-1.25,31.42,63.97,2.77
Bikaner,69,IN,2020-01-27 02:30:39,41,28.02,73.3,64.24,6.76
Ambilobe,100,MG,2020-01-27 02:30:40,92,-13.2,49.05,74.79,3.85
Port Blair,0,IN,2020-01-27 02:26:05,63,11.67,92.75,77.5,12.68
Mingshui,98,CN,2020-01-27 02:30:43,65,36.72,117.5,39.0,5.1
Pacific Grove,75,US,2020-01-27 02:30:44,82,36.62,-121.92,57.99,4.7
Molteno,0,ZA,2020-01-27 02:30:45,71,-31.4,26.36,42.22,5.41
Ketchikan,90,US,2020-01-27 02:30:46,93,55.34,-131.65,42.8,16.11
Kushima,75,JP,2020-01-27 02:30:47,87,31.46,131.23,59.0,13.87
Lieksa,100,FI,2020-01-27 02:30:49,91,63.32,30.02,7.99,2.71
Imbituba,0,BR,2020-01-27 02:30:50,88,-28.24,-48.67,77.0,5.82
Aykhal,90,RU,2020-01-27 02:30:52,74,66.0,111.5,-25.6,2.24
Aswan,0,EG,2020-01-27 02:30:53,71,24.09,32.91,47.08,9.53
Fortuna,75,US,2020-01-27 02:30:54,76,40.6,-124.16,53.6,2.08
Auki,100,SB,2020-01-27 02:30:55,76,-8.77,160.7,84.58,11.72
Nadadores,0,MX,2020-01-27 02:30:56,40,27.05,-101.6,67.75,4.34
Komsomolskiy,40,UZ,2020-01-27 02:30:57,86,40.43,71.72,33.8,4.7
Mount Gambier,100,AU,2020-01-27 02:30:59,52,-37.83,140.77,69.8,13.87
Naryan-Mar,100,RU,2020-01-27 02:31:00,98,67.67,53.09,-10.46,8.72
Tema,0,GH,2020-01-27 02:31:01,83,5.67,-0.02,78.8,3.36
Chaozhou,0,CN,2020-01-27 02:31:02,58,23.67,116.64,53.6,11.18
Aksarka,98,RU,2020-01-27 02:31:03,98,66.56,67.8,-9.38,4.9
Manicore,91,BR,2020-01-27 02:31:04,84,-5.81,-61.3,77.2,2.48
Belchatow,100,PL,2020-01-27 02:31:05,92,51.37,19.36,30.99,4.7
Phalombe,67,MW,2020-01-27 02:31:06,90,-15.81,35.65,65.48,3.71
Atar,0,MR,2020-01-27 02:31:08,28,20.52,-13.05,65.19,8.66
Sorong,100,ID,2020-01-27 02:31:09,42,-0.88,131.25,94.75,2.33
Maragogi,100,BR,2020-01-27 02:31:10,80,-9.01,-35.22,81.99,12.44
Moose Factory,90,CA,2020-01-27 02:31:11,92,51.26,-80.61,21.2,12.75
Uddevalla,100,SE,2020-01-27 02:31:12,93,58.35,11.94,41.0,13.87
Nuuk,100,GL,2020-01-27 02:31:13,66,64.18,-51.72,14.0,9.17
Manta,75,EC,2020-01-27 02:31:15,83,-0.95,-80.73,78.8,5.82
Jumla,0,NP,2020-01-27 02:31:16,42,29.27,82.18,29.37,2.44
Maun,14,BW,2020-01-27 02:31:17,55,-19.98,23.42,73.38,2.62
Lang Son,97,VN,2020-01-27 02:31:18,68,21.83,106.73,49.55,6.6
Elko,75,US,2020-01-27 02:31:20,86,41.0,-115.5,37.4,8.05
Kyra,0,RU,2020-01-27 02:31:21,71,49.58,111.98,13.24,2.19
Dauphin,90,CA,2020-01-27 02:31:22,92,51.15,-100.05,17.6,5.82
Morondava,3,MG,2020-01-27 02:31:24,91,-20.28,44.28,74.79,0.96
Sembe,1,CG,2020-01-27 02:31:25,32,1.65,14.58,67.15,1.81
Korla,82,CN,2020-01-27 02:31:26,96,41.76,86.15,28.99,1.99
Anzio,5,IT,2020-01-27 02:31:27,87,41.49,12.62,48.0,4.7
Severo-Yeniseyskiy,23,RU,2020-01-27 02:31:28,93,60.37,93.04,4.35,6.49
Merauke,33,ID,2020-01-27 02:31:30,51,-8.47,140.33,92.41,7.76
Ahipara,10,NZ,2020-01-27 02:31:31,65,-35.17,173.17,87.01,1.99
Krasnoarmeysk,94,RU,2020-01-27 02:31:32,79,51.02,45.7,30.0,8.99
Beidao,62,CN,2020-01-27 02:31:33,62,34.57,105.89,31.64,1.92
Djambala,0,CG,2020-01-27 02:31:34,90,-2.54,14.75,69.69,5.35
Mollendo,100,PE,2020-01-27 02:31:35,87,-17.02,-72.01,70.3,4.45
Vilhena,100,BR,2020-01-27 02:31:37,87,-12.74,-60.15,72.75,2.21
Samarai,78,PG,2020-01-27 02:31:38,55,-10.62,150.67,90.27,4.72
Solok,84,ID,2020-01-27 02:31:39,81,-0.79,100.66,78.48,2.01
Itarema,100,BR,2020-01-27 02:31:40,94,-2.92,-39.92,76.64,4.0
Linares,19,CL,2020-01-27 02:31:41,39,-35.85,-71.6,69.42,3.74
Kupang,40,ID,2020-01-27 02:31:42,83,-10.17,123.58,84.2,6.93
Loyga,89,RU,2020-01-27 02:31:44,95,61.08,44.61,3.49,7.18
Mayumba,90,GA,2020-01-27 02:31:45,75,-3.43,10.66,82.6,5.82
Kavaratti,80,IN,2020-01-27 02:31:46,67,10.57,72.64,80.55,3.71
Lac Du Bonnet,100,CA,2020-01-27 02:31:47,94,50.25,-96.06,14.0,5.01
Dabakala,94,CI,2020-01-27 02:31:48,13,8.37,-4.43,69.96,3.04
Mangrol,0,IN,2020-01-27 02:31:49,76,21.12,70.12,69.85,11.16
Amapa,100,BR,2020-01-27 02:31:50,99,1.0,-52.0,72.39,2.26
Balsas,100,BR,2020-01-27 02:31:52,94,-7.53,-46.04,74.35,6.73
Tripoli,33,LY,2020-01-27 02:31:53,74,32.88,13.19,61.61,2.3
Puerto Madero,75,MX,2020-01-27 02:31:54,88,14.72,-92.42,78.8,2.24
Taseyevo,0,RU,2020-01-27 02:31:55,86,57.22,94.9,6.28,5.1
Avesta,100,SE,2020-01-27 02:31:56,93,60.15,16.17,39.99,6.93
Sibolga,100,ID,2020-01-27 02:31:57,97,1.74,98.78,73.67,0.85
Kozlovka,90,RU,2020-01-27 02:31:59,92,55.84,48.25,21.2,8.95
Liverpool,75,GB,2020-01-27 02:32:00,100,53.41,-2.98,42.8,10.29
Palmas,90,BR,2020-01-27 02:29:45,100,-10.21,-48.36,75.2,2.24
Conakry,33,GN,2020-01-27 02:32:02,68,9.54,-13.68,73.36,3.38
Abashiri,75,JP,2020-01-27 02:29:46,85,44.02,144.27,23.0,8.05
Praia,0,CV,2020-01-27 02:32:05,60,14.92,-23.51,73.4,17.22
Dunmore Town,0,BS,2020-01-27 02:32:06,53,25.5,-76.65,71.64,4.7
Keti Bandar,74,PK,2020-01-27 02:32:07,71,24.14,67.45,69.94,10.94
Dali,0,CN,2020-01-27 02:32:08,38,25.7,100.18,46.76,3.87
Ouadda,53,CF,2020-01-27 02:32:09,21,8.08,22.4,60.31,5.48
Great Yarmouth,96,GB,2020-01-27 02:32:10,87,52.61,1.73,46.4,13.87
Hakodate,20,JP,2020-01-27 02:32:11,51,41.78,140.74,35.6,8.05
Oktyabrskiy,98,RU,2020-01-27 02:32:13,95,54.48,53.47,4.73,6.08
Booue,21,GA,2020-01-27 02:32:14,98,-0.09,11.94,71.64,2.42
San Quintin,52,MX,2020-01-27 02:32:15,55,30.48,-115.95,37.0,3.0
Entre Rios,100,BR,2020-01-27 02:32:16,97,-11.94,-38.08,71.01,2.89
Tupik,54,RU,2020-01-27 02:31:06,87,54.43,119.93,2.35,0.45
Impfondo,0,CG,2020-01-27 02:32:18,31,1.64,18.07,67.66,1.03
Yurga,100,RU,2020-01-27 02:32:19,76,55.72,84.89,13.48,18.68
Namtsy,100,RU,2020-01-27 02:32:21,67,62.72,129.67,-22.0,8.95
Kutum,0,SD,2020-01-27 02:32:57,36,14.2,24.67,41.36,3.47
Guadalupe Victoria,1,MX,2020-01-27 02:32:59,39,32.29,-115.11,68.0,5.82
Saint-Ambroise,90,CA,2020-01-27 02:33:00,92,48.55,-71.33,30.99,2.24
Vila Do Maio,11,CV,2020-01-27 02:33:01,60,15.13,-23.22,73.4,17.22
Meulaboh,91,ID,2020-01-27 02:33:02,82,4.14,96.13,81.61,5.12
Ono,75,JP,2020-01-27 02:33:03,75,34.85,134.93,50.0,26.4
Vaitape,45,PF,2020-01-27 02:33:04,71,-16.52,-151.75,83.64,10.02
Trinidad,81,BO,2020-01-27 02:28:11,84,-14.83,-64.9,79.63,3.65
Periyanayakkanpalaiyam,99,IN,2020-01-27 02:33:07,68,11.15,76.93,68.0,5.59
Penzance,95,GB,2020-01-27 02:33:08,93,50.12,-5.54,48.0,13.87
Kagadi,100,UG,2020-01-27 02:33:09,51,0.96,30.8,69.48,1.61
Moerai,82,PF,2020-01-27 02:33:10,71,-22.43,-151.33,81.68,6.04
Tazovskiy,93,RU,2020-01-27 02:33:11,97,67.47,78.7,-2.42,7.54
Bhakkar,100,PK,2020-01-27 02:33:12,52,31.63,71.07,56.35,2.98
Maltahohe,0,NA,2020-01-27 02:33:14,40,-24.83,16.98,59.05,19.82
Oyem,62,GA,2020-01-27 02:33:15,92,1.6,11.58,70.48,3.89
San Luis,1,AR,2020-01-27 02:33:07,26,-33.3,-66.34,82.11,15.97
Eirunepe,69,BR,2020-01-27 02:33:18,92,-6.66,-69.87,75.51,1.16
Paamiut,100,GL,2020-01-27 02:33:19,67,61.99,-49.67,18.43,21.88
Tyukhtet,70,RU,2020-01-27 02:33:20,83,56.54,89.3,6.67,8.72
Bairiki,75,KI,2020-01-27 02:33:21,74,1.33,172.98,86.0,10.29
Ribeira Grande,100,PT,2020-01-27 02:33:22,89,38.52,-28.7,59.38,18.59
Baykit,100,RU,2020-01-27 02:33:23,97,61.67,96.37,1.89,2.68
Jaisalmer,1,IN,2020-01-27 02:33:24,39,26.91,70.92,65.37,7.65
Bubaque,100,GW,2020-01-27 02:33:26,43,11.28,-15.83,79.81,12.44
Zholymbet,100,KZ,2020-01-27 02:33:27,85,51.74,71.71,25.29,25.81
Mugur-Aksy,0,RU,2020-01-27 02:33:28,69,50.35,90.5,-0.58,5.55
Roma,90,US,2020-01-27 02:33:29,100,43.21,-75.46,36.0,11.7
Saint-Pierre,90,RE,2020-01-27 02:33:30,69,-21.34,55.48,73.4,10.29
Acapulco,20,MX,2020-01-27 02:29:29,74,16.86,-99.89,80.6,8.05
Magistralnyy,100,RU,2020-01-27 02:33:32,89,56.17,107.45,15.85,3.04
Edd,22,ER,2020-01-27 02:33:34,72,13.93,41.69,69.3,2.57
Carmen,5,MX,2020-01-27 02:33:09,83,18.63,-91.83,75.2,1.95
Zabol,82,AF,2020-01-27 02:33:36,97,32.25,67.25,14.59,3.38
